speed: 0 ; cp: [''] ; reward: -0.15
speed: 52 ; cp: ['2', '8'] ; reward: -0.02982222222222221
speed: 54 ; cp: ['2', '8'] ; reward: -0.0204
speed: 52 ; cp: ['2', '8'] ; reward: -0.02982222222222221
speed: 51 ; cp: ['2', '8'] ; reward: -0.03439999999999997
speed: 53 ; cp: ['2', '8'] ; reward: -0.025155555555555556
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 59 ; cp: ['2', '8'] ; reward: 0.00471111111111111
speed: 3 ; cp: ['2', '8'] ; reward: -0.14959999999999998
speed: 8 ; cp: ['2', '8'] ; reward: -0.14715555555555554
speed: 9 ; cp: ['2', '8'] ; reward: -0.1464
speed: 23 ; cp: ['2', '8'] ; reward: -0.12648888888888887
speed: 28 ; cp: ['2', '8'] ; reward: -0.11515555555555554
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 53 ; cp: ['2', '8'] ; reward: -0.025155555555555556
speed: 52 ; cp: ['2', '8'] ; reward: -0.02982222222222221
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 91 ; cp: ['2', '8'] ; reward: 0.21804444444444446
speed: 98 ; cp: ['2', '8'] ; reward: 0.27684444444444445
speed: 93 ; cp: ['2', '8'] ; reward: 0.23440000000000003
speed: 98 ; cp: ['2', '8'] ; reward: 0.27684444444444445
speed: 95 ; cp: ['2', '8'] ; reward: 0.25111111111111106
speed: 93 ; cp: ['2', '8'] ; reward: 0.23440000000000003
speed: 95 ; cp: ['2', '8'] ; reward: 0.25111111111111106
speed: 98 ; cp: ['2', '8'] ; reward: 0.27684444444444445
speed: 182 ; cp: ['2', '8'] ; reward: 1.322177777777778
speed: 182 ; cp: ['2', '8'] ; reward: 1.322177777777778
speed: 181 ; cp: ['2', '8'] ; reward: 1.3060444444444448
speed: 181 ; cp: ['2', '8'] ; reward: 1.3060444444444448
speed: 99 ; cp: ['2', '8'] ; reward: 0.2856000000000001
speed: 99 ; cp: ['2', '8'] ; reward: 0.2856000000000001
speed: 98 ; cp: ['2', '8'] ; reward: 0.27684444444444445
speed: 181 ; cp: ['2', '8'] ; reward: 1.3060444444444448
speed: 183 ; cp: ['2', '8'] ; reward: 1.3384
speed: 181 ; cp: ['2', '8'] ; reward: 1.3060444444444448
speed: 183 ; cp: ['2', '8'] ; reward: 1.3384
speed: 182 ; cp: ['2', '8'] ; reward: 1.322177777777778
speed: 110 ; cp: ['2', '8'] ; reward: 0.38777777777777767
speed: 113 ; cp: ['2', '8'] ; reward: 0.41751111111111106
speed: 115 ; cp: ['2', '8'] ; reward: 0.4377777777777778
speed: 118 ; cp: ['2', '8'] ; reward: 0.4688444444444444
speed: 110 ; cp: ['2', '8'] ; reward: 0.38777777777777767
speed: 112 ; cp: ['2', '8'] ; reward: 0.40751111111111116
speed: 120 ; cp: ['2', '8'] ; reward: 0.4900000000000001
speed: 122 ; cp: ['2', '8'] ; reward: 0.5115111111111111
speed: 125 ; cp: ['2', '8'] ; reward: 0.5444444444444445
speed: 123 ; cp: ['2', '8'] ; reward: 0.5223999999999999
speed: 124 ; cp: ['2', '8'] ; reward: 0.5333777777777777
speed: 122 ; cp: ['2', '8'] ; reward: 0.5115111111111111
speed: 55 ; cp: ['2', '8'] ; reward: -0.015555555555555572
speed: 25 ; cp: ['2', '8'] ; reward: -0.12222222222222222
speed: 2 ; cp: ['2', '8'] ; reward: -0.14982222222222222
speed: 8 ; cp: ['2', '8'] ; reward: -0.14715555555555554
speed: 55 ; cp: ['2', '8'] ; reward: -0.015555555555555572
speed: 51 ; cp: ['2', '8'] ; reward: -0.03439999999999997
speed: 49 ; cp: ['2', '8'] ; reward: -0.04328888888888889
speed: 48 ; cp: ['2', '8'] ; reward: -0.04759999999999999
speed: 49 ; cp: ['2', '8'] ; reward: -0.04328888888888889
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 48 ; cp: ['2', '8'] ; reward: -0.04759999999999999
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 58 ; cp: ['2', '8'] ; reward: -0.0004888888888888998
speed: 48 ; cp: ['2', '8'] ; reward: -0.04759999999999999
